Product,State,zip3,length
Credit card or prepaid card,PA,0,5225
Credit card or prepaid card,NY,0,1423
Credit card or prepaid card,CA,916,1671
Vehicle loan or lease,IL,0,1122
Credit card or prepaid card,IL,606,776
Mortgage,MO,652,2163
Credit card or prepaid card,OH,452,436
Mortgage,MD,0,2435
Vehicle loan or lease,VA,236,2057
Mortgage,FL,337,5039
Mortgage,PA,0,3509
Credit card or prepaid card,CT,65,414
Credit card or prepaid card,ME,0,2445
Mortgage,TN,0,448
Mortgage,TN,380,566
Mortgage,WA,0,526
Vehicle loan or lease,CA,941,1281
Credit card or prepaid card,FL,331,2493
Mortgage,VT,0,346
Credit card or prepaid card,TX,0,790
Credit card or prepaid card,CT,0,1993
Mortgage,FL,0,1045
Mortgage,AZ,852,2056
Student loan,FL,342,4253
Vehicle loan or lease,NY,0,1127
Mortgage,TX,785,1889
Student loan,PA,0,3886
Mortgage,OH,436,2003
Mortgage,CA,945,3006
Credit card or prepaid card,NH,30,1349
Mortgage,CA,949,1761
Vehicle loan or lease,IL,600,1731
Credit card or prepaid card,FL,334,756
Mortgage,CA,928,1053
Credit card or prepaid card,NM,871,712
Student loan,NC,282,3609
Credit card or prepaid card,FL,326,538
Mortgage,FL,0,798
Mortgage,MA,0,1451
Credit card or prepaid card,FL,331,142
Student loan,WA,986,1926
Credit card or prepaid card,TX,0,530
Student loan,AR,719,2247
Credit card or prepaid card,NY,126,613
Student loan,TX,762,593
Mortgage,CT,61,1636
Student loan,CA,945,725
Vehicle loan or lease,NV,891,6476
Mortgage,AZ,853,711
Credit card or prepaid card,CA,912,702
Mortgage,IL,604,4194
Vehicle loan or lease,NY,122,2186
Credit card or prepaid card,MO,633,14483
Mortgage,NJ,86,5284
Credit card or prepaid card,NY,105,2954
Credit card or prepaid card,CA,926,124
Credit card or prepaid card,TX,0,878
Credit card or prepaid card,CA,900,287
Credit card or prepaid card,HI,967,1736
Vehicle loan or lease,MS,0,2446
Vehicle loan or lease,CA,902,229
Vehicle loan or lease,DE,197,209
Credit card or prepaid card,CA,917,1988
Credit card or prepaid card,FL,0,1189
Student loan,VA,224,1343
Mortgage,MS,0,1165
Credit card or prepaid card,NY,115,935
Mortgage,WA,981,314
Vehicle loan or lease,GA,0,987
Credit card or prepaid card,PA,180,268
Credit card or prepaid card,MI,480,5090
Credit card or prepaid card,MD,208,948
Credit card or prepaid card,AZ,857,490
Credit card or prepaid card,TX,750,1351
Mortgage,CA,921,1025
Credit card or prepaid card,MA,0,291
Student loan,UT,843,247
Credit card or prepaid card,MO,630,1105
Mortgage,GA,0,1200
Mortgage,PA,180,1542
Mortgage,GA,300,2193
Mortgage,MD,211,624
Vehicle loan or lease,MA,0,2363
Student loan,FL,330,179
Student loan,OR,972,2650
Mortgage,CA,945,2033
Credit card or prepaid card,CA,926,1488
Credit card or prepaid card,MD,207,766
Mortgage,MI,0,1117
Credit card or prepaid card,CA,0,2423
Credit card or prepaid card,FL,0,494
Credit card or prepaid card,IN,0,3074
Mortgage,FL,321,1355
Mortgage,OH,430,981
Mortgage,TX,782,2314
Mortgage,NY,107,1101
Credit card or prepaid card,FL,335,4514
Credit card or prepaid card,MI,487,283
Credit card or prepaid card,CA,956,1768
Mortgage,WA,0,143
Vehicle loan or lease,IL,622,5730
Credit card or prepaid card,FL,349,737
Mortgage,MI,481,522
Mortgage,MD,212,6826
Credit card or prepaid card,WA,0,1371
Student loan,NY,0,864
Credit card or prepaid card,NV,898,1871
Mortgage,MO,630,4318
Mortgage,FL,346,6324
Credit card or prepaid card,PA,0,562
Mortgage,MO,658,1911
Student loan,NY,0,1580
Student loan,GA,302,2272
Student loan,TN,0,3096
Credit card or prepaid card,MS,395,982
Mortgage,NC,0,2986
Mortgage,GA,300,2340
Vehicle loan or lease,CA,930,1496
Credit card or prepaid card,FL,347,1345
Credit card or prepaid card,FL,330,358
Credit card or prepaid card,GA,0,152
Credit card or prepaid card,TX,0,1249
Credit card or prepaid card,MO,0,1666
Credit card or prepaid card,FL,342,3358
Vehicle loan or lease,IN,462,1287
Credit card or prepaid card,FL,0,733
Mortgage,OK,0,1438
Mortgage,FL,0,1852
Student loan,MO,0,936
Credit card or prepaid card,FL,330,1085
Mortgage,FL,0,869
Mortgage,WI,532,267
Credit card or prepaid card,FL,333,483
Credit card or prepaid card,MO,631,4214
Mortgage,MN,554,578
Student loan,OH,0,93
Credit card or prepaid card,NV,890,2304
Mortgage,FL,349,1807
Mortgage,NJ,70,6329
Student loan,PA,191,2214
Credit card or prepaid card,TX,760,461
Credit card or prepaid card,FL,337,1314
Credit card or prepaid card,MN,554,2730
Credit card or prepaid card,IL,601,1268
Mortgage,IL,606,1084
Mortgage,VA,238,2350
Credit card or prepaid card,IN,0,4158
Vehicle loan or lease,GA,301,2302
Vehicle loan or lease,NC,278,420
Mortgage,FL,328,652
Credit card or prepaid card,FL,330,1108
Mortgage,TX,750,1361
Credit card or prepaid card,WA,980,789
Mortgage,WI,0,1411
Vehicle loan or lease,CA,921,1179
Mortgage,NJ,0,2019
Student loan,FL,324,3424
Vehicle loan or lease,MN,550,340
Credit card or prepaid card,CA,917,787
Mortgage,FL,346,711
Credit card or prepaid card,OH,430,918
Credit card or prepaid card,TX,750,1081
Mortgage,NJ,0,2461
Credit card or prepaid card,OH,436,130
Credit card or prepaid card,TX,760,365
Credit card or prepaid card,PR,605,259
Mortgage,CO,0,3235
Student loan,PA,175,825
Credit card or prepaid card,PA,191,640
Credit card or prepaid card,GA,312,1073
Credit card or prepaid card,MA,0,484
Student loan,NY,115,873
Vehicle loan or lease,FL,0,322
Credit card or prepaid card,AR,721,545
Credit card or prepaid card,NC,280,996
Credit card or prepaid card,CA,0,1749
Credit card or prepaid card,FL,330,1196
Mortgage,MI,492,1195
Mortgage,WA,0,6227
Mortgage,FL,320,4260
Credit card or prepaid card,AZ,0,3283
Credit card or prepaid card,CA,900,1442
Student loan,CA,921,2105
Vehicle loan or lease,CA,913,555
Mortgage,AR,0,2194
Vehicle loan or lease,VA,201,2396
Credit card or prepaid card,DC,200,1622
Credit card or prepaid card,FL,0,735
Credit card or prepaid card,GA,301,2338
Credit card or prepaid card,NY,101,3807
Credit card or prepaid card,CO,802,1184
Credit card or prepaid card,NY,100,1301
Mortgage,CA,900,2702
Credit card or prepaid card,OH,441,955
Credit card or prepaid card,WA,980,1869
Credit card or prepaid card,RI,29,260
Vehicle loan or lease,TN,378,217
Credit card or prepaid card,WI,0,298
Vehicle loan or lease,VA,229,3222
Mortgage,NJ,0,6712
Credit card or prepaid card,CA,940,285
Credit card or prepaid card,RI,0,1006
Credit card or prepaid card,MD,208,1271
Student loan,NY,0,327
Credit card or prepaid card,MA,21,538
Mortgage,MI,480,1672
Mortgage,NC,286,2831
Mortgage,FL,323,1903
Mortgage,DC,200,1046
Vehicle loan or lease,IL,604,1180
Vehicle loan or lease,NY,114,1864
Credit card or prepaid card,CA,937,460
Student loan,NY,113,719
Mortgage,VA,0,241
Vehicle loan or lease,FL,331,1370
Student loan,WI,547,2147
Credit card or prepaid card,VA,223,915
Mortgage,NY,117,930
Student loan,NJ,70,2402
Credit card or prepaid card,CT,651,681
Student loan,IL,0,943
Credit card or prepaid card,PA,0,2303
Mortgage,CO,802,332
Credit card or prepaid card,WI,532,385
Credit card or prepaid card,MI,482,879
Mortgage,IN,463,966
Student loan,TX,750,1216
Credit card or prepaid card,GA,301,1237
Student loan,IN,462,1840
Credit card or prepaid card,MO,631,1679
Credit card or prepaid card,NY,115,3044
Mortgage,MI,481,546
Credit card or prepaid card,CA,906,2444
Student loan,TX,767,1049
Credit card or prepaid card,CA,913,1905
Credit card or prepaid card,NC,273,964
Vehicle loan or lease,OR,0,1429
Credit card or prepaid card,AZ,850,74
Credit card or prepaid card,NY,0,2091
Mortgage,CO,0,1574
Credit card or prepaid card,NM,871,2690
Mortgage,OH,0,413
Mortgage,MO,641,2300
Vehicle loan or lease,SC,0,1161
Student loan,MN,0,1164
Credit card or prepaid card,WA,986,1073
Credit card or prepaid card,KY,405,2081
Mortgage,OH,0,331
Credit card or prepaid card,IL,606,926
Credit card or prepaid card,AZ,850,307
Credit card or prepaid card,UT,840,1316
Credit card or prepaid card,CA,950,61
Mortgage,IL,606,5840
Credit card or prepaid card,NV,891,2979
Credit card or prepaid card,CA,0,817
Credit card or prepaid card,TN,0,865
Mortgage,IL,605,1881
Mortgage,NC,286,29288
Mortgage,FL,328,434
Vehicle loan or lease,CA,910,1308
Mortgage,FL,334,5065
Vehicle loan or lease,TX,751,1431
Student loan,IA,522,1082
Credit card or prepaid card,CA,0,844
Student loan,OH,0,10837
Mortgage,NE,681,2914
Mortgage,IL,606,5507
Vehicle loan or lease,IN,479,3222
Student loan,MI,483,4717
Mortgage,WA,0,498
Mortgage,TX,0,2156
Mortgage,NC,0,366
Credit card or prepaid card,TX,760,625
Credit card or prepaid card,TX,760,533
Mortgage,WA,986,534
Mortgage,NY,0,1180
Mortgage,CT,66,777
Vehicle loan or lease,GA,301,1710
Mortgage,KY,427,1904
Credit card or prepaid card,WA,984,2959
Credit card or prepaid card,MT,597,399
Mortgage,CO,808,896
Credit card or prepaid card,FL,334,1231
Mortgage,SC,294,401
Student loan,AL,0,528
Mortgage,SC,294,703
Mortgage,CA,913,1187
Credit card or prepaid card,VA,238,551
Mortgage,WA,980,680
Mortgage,CA,923,2405
Credit card or prepaid card,CA,928,8932
Vehicle loan or lease,GA,302,435
Vehicle loan or lease,TX,750,6888
Vehicle loan or lease,MN,0,1839
Vehicle loan or lease,CA,914,2109
Credit card or prepaid card,FL,334,382
Credit card or prepaid card,MO,630,1545
Credit card or prepaid card,CA,939,1125
Credit card or prepaid card,VA,201,863
Credit card or prepaid card,WA,980,1067
Credit card or prepaid card,UT,841,1595
Mortgage,MI,0,9236
Credit card or prepaid card,NC,0,1893
Credit card or prepaid card,NY,100,1748
Student loan,MA,23,1389
Credit card or prepaid card,FL,320,919
Credit card or prepaid card,GA,0,2047
Credit card or prepaid card,NY,0,2453
Credit card or prepaid card,RI,0,840
Credit card or prepaid card,NY,0,1737
Credit card or prepaid card,IL,606,475
Mortgage,TN,0,471
Credit card or prepaid card,WI,0,944
Mortgage,NY,112,835
Student loan,VA,201,1345
Vehicle loan or lease,CA,926,858
Mortgage,UT,840,900
Credit card or prepaid card,TX,750,854
Credit card or prepaid card,FL,334,446
Vehicle loan or lease,CA,0,1550
Credit card or prepaid card,MI,0,1281
Mortgage,WA,0,1470
Mortgage,GA,0,1506
Credit card or prepaid card,ND,0,1536
Mortgage,NY,120,2842
Credit card or prepaid card,MA,21,1222
Student loan,GA,303,536
Credit card or prepaid card,NY,112,1909
Mortgage,FL,334,458
Mortgage,IL,600,2033
Credit card or prepaid card,MN,551,571
Mortgage,FL,0,1011
Vehicle loan or lease,AZ,853,668
Student loan,NY,0,1554
Credit card or prepaid card,NJ,885,2594
Mortgage,TN,0,3238
Mortgage,MI,0,372
Student loan,AZ,853,1011
Credit card or prepaid card,CA,914,1342
Mortgage,PA,0,3817
Credit card or prepaid card,NY,112,308
Credit card or prepaid card,MD,209,2303
Credit card or prepaid card,FL,0,510
Credit card or prepaid card,MI,480,545
Student loan,GA,312,4798
Credit card or prepaid card,PA,191,2493
Vehicle loan or lease,FL,320,1088
Vehicle loan or lease,IL,601,211
Vehicle loan or lease,FL,331,2206
Credit card or prepaid card,FL,336,535
Mortgage,NC,0,2275
Mortgage,AZ,851,1428
Student loan,MI,482,967
Mortgage,IL,618,973
Mortgage,AZ,853,1364
Mortgage,IL,601,647
Vehicle loan or lease,NV,894,1549
Credit card or prepaid card,NC,282,88
Mortgage,WI,0,774
Credit card or prepaid card,NJ,76,601
Credit card or prepaid card,WI,0,908
Credit card or prepaid card,CA,900,365
Credit card or prepaid card,WA,0,1135
Credit card or prepaid card,MA,16,180
Credit card or prepaid card,AZ,852,806
Vehicle loan or lease,FL,335,437
Credit card or prepaid card,IN,462,1859
Credit card or prepaid card,MD,207,1142
Vehicle loan or lease,FL,334,623
Credit card or prepaid card,MN,553,960
Mortgage,FL,334,2551
Credit card or prepaid card,CA,0,3012
Credit card or prepaid card,NY,117,1354
Vehicle loan or lease,PA,0,2033
Mortgage,CO,805,634
Student loan,AL,0,554
Student loan,TX,751,1129
Mortgage,OK,0,6814
Mortgage,NC,284,355
Mortgage,AZ,0,1862
Credit card or prepaid card,CA,957,388
Credit card or prepaid card,FL,331,703
Credit card or prepaid card,MA,27,664
Mortgage,VA,201,1633
Credit card or prepaid card,OH,440,357
Credit card or prepaid card,GA,300,309
Credit card or prepaid card,DE,197,1135
Student loan,OH,452,1733
Mortgage,IN,0,124
Vehicle loan or lease,KY,404,401
Credit card or prepaid card,CO,0,1329
Mortgage,GA,300,304
Mortgage,FL,0,716
Credit card or prepaid card,DC,0,1115
Vehicle loan or lease,OH,0,2947
Credit card or prepaid card,FL,0,2609
Credit card or prepaid card,FL,0,287
Mortgage,MA,17,399
Credit card or prepaid card,DC,200,742
Mortgage,PA,190,3173
Mortgage,ID,838,255
Credit card or prepaid card,IL,606,540
Credit card or prepaid card,NJ,0,761
Credit card or prepaid card,CA,928,580
Mortgage,TX,782,797
Vehicle loan or lease,VT,54,114
Student loan,IN,474,290
Mortgage,HI,0,1208
Mortgage,PA,0,1343
Credit card or prepaid card,OH,0,215
Credit card or prepaid card,MA,24,1068
Mortgage,VA,0,928
Student loan,MI,481,583
Mortgage,VT,0,5877
Credit card or prepaid card,MA,0,3721
Vehicle loan or lease,ND,581,371
Mortgage,CA,936,347
Mortgage,TX,750,190
Student loan,GA,303,3863
Mortgage,MO,0,1062
Credit card or prepaid card,VA,232,260
Credit card or prepaid card,CA,921,1053
Mortgage,NC,0,791
Mortgage,MI,482,3712
Mortgage,CA,920,9517
Credit card or prepaid card,CA,914,594
Credit card or prepaid card,NY,112,1693
Student loan,FL,333,849
Credit card or prepaid card,TX,750,1620
Mortgage,VA,232,2847
Credit card or prepaid card,PA,0,1467
Credit card or prepaid card,PA,152,1516
Mortgage,CA,945,842
Credit card or prepaid card,AL,0,423
Credit card or prepaid card,TX,787,141
Credit card or prepaid card,NY,112,2719
Student loan,KY,400,4212
Mortgage,WA,980,6493
Student loan,TN,381,675
Mortgage,TX,0,4044
Mortgage,IL,600,735
Mortgage,AZ,856,512
Credit card or prepaid card,IL,0,381
Mortgage,MD,208,1625
Credit card or prepaid card,MN,554,1022
Credit card or prepaid card,MN,553,850
Vehicle loan or lease,OH,441,916
Student loan,KS,662,2879
Credit card or prepaid card,VT,0,465
Credit card or prepaid card,CA,917,1007
Mortgage,AZ,852,245
Student loan,MO,640,222
Vehicle loan or lease,NH,0,185
Mortgage,VA,236,2090
Credit card or prepaid card,MO,631,1853
Credit card or prepaid card,CA,957,2118
Credit card or prepaid card,NY,105,424
Vehicle loan or lease,UT,840,4182
Credit card or prepaid card,WI,0,2161
Credit card or prepaid card,CA,926,3207
Mortgage,GA,305,888
Mortgage,OH,447,550
Credit card or prepaid card,CA,947,1041
Student loan,CA,935,454
Mortgage,CO,802,430
Credit card or prepaid card,NY,110,317
Mortgage,CA,921,671
Credit card or prepaid card,CA,913,1654
Credit card or prepaid card,OH,436,1576
Credit card or prepaid card,OH,436,232
Mortgage,CA,960,3070
Student loan,AZ,0,442
Mortgage,TX,0,1505
Mortgage,TX,750,261
Credit card or prepaid card,NY,114,1115
Mortgage,CA,906,436
Student loan,FL,0,1126
Student loan,IL,606,1930
Credit card or prepaid card,TX,770,2828
Student loan,IL,0,664
Credit card or prepaid card,MI,485,660
Mortgage,IN,0,702
Credit card or prepaid card,CA,900,702
Mortgage,CA,922,1506
Credit card or prepaid card,IL,606,483
Mortgage,MO,0,2043
Vehicle loan or lease,TX,752,263
Mortgage,MA,18,2077
Credit card or prepaid card,FL,331,931
Student loan,GA,303,296
Vehicle loan or lease,MI,0,1810
Mortgage,PA,191,2920
Mortgage,CA,906,282
Credit card or prepaid card,TX,770,1286
Credit card or prepaid card,MD,209,335
Credit card or prepaid card,FL,342,2088
Student loan,OR,972,675
Credit card or prepaid card,CA,956,1466
Credit card or prepaid card,MI,0,1206
Vehicle loan or lease,NY,109,426
Vehicle loan or lease,FL,0,469
Credit card or prepaid card,OR,970,3295
Mortgage,NY,107,1589
Credit card or prepaid card,OH,432,380
Student loan,CA,902,286
Mortgage,DE,0,1435
Credit card or prepaid card,MA,0,247
Mortgage,FL,330,383
Mortgage,NV,0,9420
Mortgage,WI,0,4031
Student loan,MA,19,1833
Student loan,FL,0,241
Credit card or prepaid card,WA,981,1293
Credit card or prepaid card,PA,0,711
Credit card or prepaid card,GA,303,730
Mortgage,GA,303,2074
Credit card or prepaid card,PR,919,152
Credit card or prepaid card,CA,956,494
Credit card or prepaid card,CO,802,3079
Credit card or prepaid card,None,0,635
Credit card or prepaid card,GA,306,97
Mortgage,CA,926,1703
Student loan,MA,0,1310
Credit card or prepaid card,CA,917,1303
Credit card or prepaid card,VA,222,2491
Credit card or prepaid card,FL,331,243
Credit card or prepaid card,MN,0,414
Vehicle loan or lease,FL,330,1913
Credit card or prepaid card,CA,926,1500
Mortgage,GA,300,108
Mortgage,NY,0,1819
Credit card or prepaid card,CA,940,1151
Mortgage,NC,280,2305
Credit card or prepaid card,TN,0,4881
Mortgage,IL,604,628
Mortgage,KY,402,1279
Mortgage,PA,184,14079
Mortgage,CA,948,1276
Credit card or prepaid card,AZ,0,4865
Credit card or prepaid card,PA,0,1369
Mortgage,NY,0,786
Credit card or prepaid card,CA,941,3337
Vehicle loan or lease,FL,336,93
Credit card or prepaid card,CO,0,950
Credit card or prepaid card,NJ,71,2643
Credit card or prepaid card,CA,947,325
Mortgage,CA,917,1325
Credit card or prepaid card,NC,0,1312
Vehicle loan or lease,MI,0,1283
Credit card or prepaid card,AK,0,1297
Mortgage,TX,0,554
Credit card or prepaid card,CA,953,474
Credit card or prepaid card,CA,900,851
Credit card or prepaid card,CA,926,1233
Mortgage,HI,968,1963
Credit card or prepaid card,GA,300,1138
Mortgage,MA,212,326
Student loan,CA,958,304
Vehicle loan or lease,TX,752,3749
Credit card or prepaid card,IL,0,2170
Credit card or prepaid card,TX,770,746
Credit card or prepaid card,VA,225,3952
Credit card or prepaid card,FL,334,267
Mortgage,WI,532,377
Vehicle loan or lease,FL,0,678
Credit card or prepaid card,CA,954,2009
Credit card or prepaid card,CA,928,2837
Mortgage,NJ,702,839
Mortgage,FL,323,1235
Mortgage,KY,0,1621
Credit card or prepaid card,NJ,0,383
Credit card or prepaid card,CA,945,3550
Student loan,WA,984,567
Credit card or prepaid card,FL,0,9367
Mortgage,CA,941,829
Credit card or prepaid card,CO,800,637
Mortgage,MI,480,1273
Credit card or prepaid card,NM,871,122
Vehicle loan or lease,OH,0,319
Student loan,CO,800,2300
Vehicle loan or lease,CO,806,531
Credit card or prepaid card,LA,0,408
Mortgage,CA,0,1033
Credit card or prepaid card,NJ,88,1738
Credit card or prepaid card,OH,450,901
Mortgage,CA,904,2389
Mortgage,CA,956,466
Credit card or prepaid card,NJ,70,1826
Credit card or prepaid card,NV,891,988
Credit card or prepaid card,UT,0,462
Credit card or prepaid card,AZ,850,1478
Credit card or prepaid card,NV,891,269
Mortgage,FL,331,2915
Credit card or prepaid card,NY,100,2316
Credit card or prepaid card,NJ,762,100
Credit card or prepaid card,PA,171,2527
Credit card or prepaid card,NY,104,929
Credit card or prepaid card,NJ,792,417
Credit card or prepaid card,SC,296,728
Credit card or prepaid card,NY,144,904
Credit card or prepaid card,TX,770,746
Credit card or prepaid card,VA,220,350
Mortgage,TX,0,1739
Credit card or prepaid card,CA,912,648
Credit card or prepaid card,FL,335,444
Student loan,MI,481,1482
Mortgage,MD,207,2047
Vehicle loan or lease,WA,0,1277
Student loan,FL,333,4106
Mortgage,PA,190,45
Credit card or prepaid card,MI,490,324
Mortgage,NJ,76,2551
Credit card or prepaid card,TX,760,989
Vehicle loan or lease,MO,652,399
Mortgage,NJ,76,960
Student loan,TX,773,1192
Mortgage,PA,180,885
Credit card or prepaid card,VA,201,780
Credit card or prepaid card,MD,207,1559
Credit card or prepaid card,FL,332,728
Credit card or prepaid card,NY,0,1255
Credit card or prepaid card,MD,207,532
Mortgage,MO,641,1450
Credit card or prepaid card,CO,809,307
Credit card or prepaid card,PA,0,440
Mortgage,AL,0,214
Mortgage,CA,910,779
Mortgage,UT,841,1985
Credit card or prepaid card,CA,926,841
Mortgage,TX,0,413
Credit card or prepaid card,FL,331,586
Vehicle loan or lease,TX,762,10587
Mortgage,CO,808,540
Mortgage,PA,152,831
Mortgage,NC,279,389
Credit card or prepaid card,SC,294,91
Mortgage,VA,231,4260
Credit card or prepaid card,FL,322,931
Credit card or prepaid card,TX,773,1811
Credit card or prepaid card,MI,482,3522
Mortgage,PA,0,635
Credit card or prepaid card,TX,750,292
Vehicle loan or lease,GA,302,450
Credit card or prepaid card,TX,751,525
Mortgage,VA,0,427
Mortgage,CT,68,1686
Vehicle loan or lease,CA,951,2517
Credit card or prepaid card,MD,209,1721
Mortgage,NV,890,646
Credit card or prepaid card,WA,986,1777
Vehicle loan or lease,CA,920,2591
Mortgage,CA,941,734
Student loan,NC,282,2325
Credit card or prepaid card,CA,945,1025
Credit card or prepaid card,NY,120,490
Mortgage,AR,727,1214
Credit card or prepaid card,AZ,0,650
Credit card or prepaid card,FL,334,234
Credit card or prepaid card,TX,0,418
Credit card or prepaid card,GA,301,494
Mortgage,CA,926,1252
Mortgage,MI,492,1918
Mortgage,PA,0,1584
Vehicle loan or lease,GA,302,198
Credit card or prepaid card,SC,296,845
Vehicle loan or lease,MT,0,1540
Mortgage,FL,341,2468
Mortgage,SC,293,1303
Credit card or prepaid card,VA,233,1633
Mortgage,NJ,0,784
Credit card or prepaid card,ID,837,877
Mortgage,CA,923,989
Credit card or prepaid card,MI,0,1293
Mortgage,NV,0,881
Mortgage,AR,721,3738
Mortgage,GA,301,2169
Credit card or prepaid card,DE,0,740
Mortgage,CA,0,1581
Credit card or prepaid card,CA,926,332
Vehicle loan or lease,AR,727,765
Credit card or prepaid card,PA,191,460
Credit card or prepaid card,FL,341,621
Credit card or prepaid card,AZ,852,171
Mortgage,FL,0,6401
Credit card or prepaid card,WA,0,1083
Credit card or prepaid card,CA,903,70
Credit card or prepaid card,CA,921,1073
Mortgage,MD,0,1510
Credit card or prepaid card,ID,836,1062
Credit card or prepaid card,KS,662,692
Credit card or prepaid card,NY,0,2156
Mortgage,CA,913,1838
Student loan,SC,294,598
Student loan,MI,480,784
Student loan,OR,0,1264
Vehicle loan or lease,CA,952,815
Mortgage,WA,984,1957
Credit card or prepaid card,FL,342,1447
Credit card or prepaid card,TX,750,21960
Student loan,WA,984,1218
Mortgage,NJ,70,2618
Mortgage,CA,910,1087
Student loan,TN,384,2854
Student loan,NY,0,2407
Credit card or prepaid card,MI,481,938
Credit card or prepaid card,VI,802,2442
Mortgage,NJ,0,8713
Mortgage,LA,0,1723
Credit card or prepaid card,OK,740,533
Mortgage,CA,0,902
Credit card or prepaid card,TN,0,464
Credit card or prepaid card,PA,152,773
Mortgage,IL,606,465
Mortgage,TX,770,1076
Mortgage,MA,27,903
Mortgage,RI,28,779
Credit card or prepaid card,WY,820,220
Credit card or prepaid card,VA,0,421
Credit card or prepaid card,CA,913,433
Student loan,PA,0,693
Credit card or prepaid card,MT,598,2161
Mortgage,CA,915,1004
Mortgage,CA,906,958
Credit card or prepaid card,NH,33,890
Credit card or prepaid card,FL,342,586
Student loan,GA,314,381
Credit card or prepaid card,TX,770,356
Mortgage,TN,372,1426
Credit card or prepaid card,NY,109,610
Credit card or prepaid card,CA,900,544
Mortgage,TN,372,1453
Student loan,PA,194,415
Mortgage,GA,305,502
Credit card or prepaid card,IL,606,1057
Mortgage,AZ,864,1173
Credit card or prepaid card,MI,480,804
Mortgage,SD,0,731
Credit card or prepaid card,NY,117,672
Mortgage,PA,0,830
Credit card or prepaid card,OK,731,2872
Credit card or prepaid card,KY,0,143
Credit card or prepaid card,CA,0,4722
Credit card or prepaid card,PA,180,815
Mortgage,TX,799,526
Mortgage,WA,980,5083
Mortgage,NC,0,1519
Credit card or prepaid card,IL,0,738
Credit card or prepaid card,FL,327,1044
Vehicle loan or lease,CA,956,100
Mortgage,TN,0,1195
Credit card or prepaid card,FL,333,615
Credit card or prepaid card,MA,21,243
Mortgage,AZ,0,795
Credit card or prepaid card,NC,275,1502
Mortgage,CA,921,559
Credit card or prepaid card,CA,906,872
Credit card or prepaid card,MA,17,159
Mortgage,CA,945,1788
Credit card or prepaid card,CA,950,1187
Vehicle loan or lease,NY,0,387
Credit card or prepaid card,MI,0,1597
Credit card or prepaid card,DC,200,1198
Credit card or prepaid card,GA,300,1760
Vehicle loan or lease,NY,100,2357
Mortgage,SC,296,6218
Credit card or prepaid card,NV,890,2588
Mortgage,FL,0,626
Student loan,NC,278,322
Mortgage,AL,352,1222
Mortgage,DE,197,794
Credit card or prepaid card,CA,913,3371
Mortgage,NJ,0,197
Credit card or prepaid card,GA,319,198
Credit card or prepaid card,TX,773,1758
Mortgage,IA,0,1609
Mortgage,TX,770,1797
Credit card or prepaid card,TX,762,796
Mortgage,MO,0,11440
Mortgage,VA,201,85
Mortgage,NC,275,3006
Credit card or prepaid card,GA,300,452
Mortgage,CA,946,638
Vehicle loan or lease,DE,0,808
Mortgage,FL,331,1476
Credit card or prepaid card,TX,786,1519
Credit card or prepaid card,IL,0,1009
Credit card or prepaid card,PA,191,675
Credit card or prepaid card,CA,920,673
Credit card or prepaid card,NJ,0,216
Mortgage,FL,0,2240
Credit card or prepaid card,OH,451,4852
Credit card or prepaid card,OH,440,282
Credit card or prepaid card,CA,928,706
Vehicle loan or lease,IN,462,655
Credit card or prepaid card,CA,913,1453
Credit card or prepaid card,MO,631,3114
Credit card or prepaid card,TX,770,1166
Mortgage,FL,346,350
Credit card or prepaid card,NY,112,3329
Mortgage,VA,221,1102
Credit card or prepaid card,TX,752,400
Student loan,NC,282,7161
Credit card or prepaid card,FL,331,1403
Credit card or prepaid card,GA,0,289
Mortgage,VA,231,2598
Mortgage,TN,0,1551
Credit card or prepaid card,TX,750,473
Mortgage,TX,750,1379
Credit card or prepaid card,CA,920,414
Credit card or prepaid card,UT,841,564
Credit card or prepaid card,NJ,0,1693
Credit card or prepaid card,NY,114,3139
Credit card or prepaid card,MA,27,1709
Student loan,MN,0,1120
Credit card or prepaid card,NV,0,1012
Credit card or prepaid card,PA,0,398
Mortgage,CT,0,201
Vehicle loan or lease,CA,927,1831
Vehicle loan or lease,IL,604,655
Mortgage,TX,0,808
Mortgage,WA,980,1615
Mortgage,NJ,885,1237
Credit card or prepaid card,CA,920,1147
Mortgage,IL,601,424
Credit card or prepaid card,MO,0,1203
Mortgage,CA,921,927
Credit card or prepaid card,TN,372,830
Vehicle loan or lease,GA,302,1427
Mortgage,KY,403,829
Credit card or prepaid card,NC,282,2124
Vehicle loan or lease,CA,0,244
Mortgage,FL,0,486
Credit card or prepaid card,MI,495,304
Credit card or prepaid card,FL,328,921
Credit card or prepaid card,MA,230,246
Credit card or prepaid card,TX,765,1282
Credit card or prepaid card,WA,980,1375
Credit card or prepaid card,FL,0,197
Mortgage,CA,0,1856
Credit card or prepaid card,IL,600,802
Credit card or prepaid card,FL,347,1957
Credit card or prepaid card,TX,774,462
Vehicle loan or lease,FL,328,179
Mortgage,LA,704,1839
Mortgage,MD,207,1223
Credit card or prepaid card,NY,100,1393
Credit card or prepaid card,IL,601,753
Credit card or prepaid card,CA,953,254
Credit card or prepaid card,FL,328,2791
Credit card or prepaid card,OH,430,851
Credit card or prepaid card,CA,945,423
Mortgage,TX,762,831
Credit card or prepaid card,LA,703,1358
Mortgage,UT,840,2517
Credit card or prepaid card,OK,740,91
